"lat" "long" "freq" "location"
"5106" 59.63879 10.6043 1 2152
"4969" 59.56494 10.65151 1 2086
"3489" 59.10696 10.43587 1 882
"2750" 59.0077 10.16055 1 203
"4192" 59.21149 10.91308 1 1491
"3193" 59.07102 10.31485 1 612
"3367" 59.09244 11.24055 1 773
"2910" 59.0341 9.816645 1 353
"4625" 59.42725 10.63895 1 1844
"2885" 59.02939 10.0671 1 329
"5393" 59.72786 10.5714 1 2293
"4586" 59.38676 10.65361 1 1817
"2706" 58.99883 9.791723 1 166
"5353" 59.71056 10.35545 1 2260
"5025" 59.59666 10.65554 1 2113
"5596" 59.83793 10.49244 1 2414
"5202" 59.66919 10.57194 1 2180
"4057" 59.18678 11.17864 1 1370
"3118" 59.06205 9.752147 1 542
"2841" 59.02298 11.09329 1 287
"5458" 59.76045 10.51407 1 2347
"3099" 59.05969 9.722004 1 524
"4600" 59.41006 10.48714 1 1827
"5011" 59.58893 10.39619 1 2107
"5301" 59.69586 10.58446 1 2228
"5660" 59.86205 10.65422 1 2463
"3856" 59.15577 10.44428 1 1192
"3891" 59.16051 11.16632 1 1224
"2692" 58.99486 11.06058 1 153
"5822" 59.90821 10.69364 1 2595
"5714" 59.87621 10.5293 1 2509
"3677" 59.12758 10.31173 1 1033
"3850" 59.15397 10.94999 1 1186
"5623" 59.85016 10.78102 1 2433
"4505" 59.3224 10.74325 1 1757
"3474" 59.10512 10.47364 1 869
"4095" 59.19323 10.8949 1 1403
"4285" 59.23242 10.43698 1 1567
"2735" 59.0052 9.770315 1 191
"4061" 59.18719 10.34141 1 1374
"4292" 59.23463 10.3835 1 1573
"3110" 59.06091 9.69215 1 534
"4668" 59.44349 10.65024 1 1880
"4045" 59.18425 10.95279 1 1358
"4990" 59.57816 10.61896 1 2099
"2586" 58.97247 9.971732 1 76
"2694" 58.99557 9.669939 1 155
"3026" 59.05034 10.88824 1 458
"3017" 59.04909 11.07855 1 450
"3284" 59.08282 11.06783 1 697
"4818" 59.50327 10.66615 1 1966
"5639" 59.85548 10.55367 1 2445
"2545" 58.96514 9.868664 1 45
"5535" 59.81233 10.70122 1 2384
"4545" 59.34481 10.47935 1 1787
"3341" 59.0891 10.27303 1 749
"5347" 59.70708 10.37822 1 2255
